V1005,year,cluster_label
01143515823954564425,2016,3
01143515823954564425,2016,3
01450292685880563465,2016,2
01470265359135563265,2016,3
01535203496810565699,2016,0
01713908560280563692,2016,1
01743958458734563292,2016,3
01863958134000568292,2016,1
01944199342936565984,2016,2
07001384759369568215,2016,0
07003558490986568225,2016,2
07003984284080568292,2016,3
07004184616160588284,2016,3
07011625827960564503,2016,3
07104615453112563833,2016,0
07273558460186565625,2016,0
07293992169316568292,2016,2
07344603589060565633,2016,2
07454192685856563484,2016,3
07561303085048563815,2016,1
07666815491921564958,2016,3
07750225528843563465,2016,3
07784665237060584933,2016,3
07904165359693564584,2016,3
07931633464261565903,2016,1
07931633464261565903,2016,0
07935299498657565999,2016,0
07973525466743564925,2016,0
09003958169345568292,2016,0
09010258680657564565,2016,0
09010292356962564565,2016,0
09011658982765564503,2016,0
09013558776920564525,2016,3
09103915315049563892,2016,1
09265299498794563299,2016,1
09286892494484564458,2016,2
09341333573803565615,2016,1
09341399415541565615,2016,0
09380258130699584565,2016,0
09483992526042564492,2016,1
09670208989703563665,2016,0
09671608020518563603,2016,1
09694133386877565684,2016,3
09696899413033565658,2016,2
09736803417891563658,2016,0
09751325591328563415,2016,2
09771308417592563815,2016,0
09771915135044583808,2016,2
09783965327129564992,2016,0
09800233525133563665,2016,0
09801303590279563615,2016,2
09813525175631563425,2016,0
09813525495603563425,2016,2
09813925561379563492,2016,3
09871699492696563203,2016,0
09961903056800565608,2016,1
12034692356383563421,2016,0
12084158343663568257,2016,0
12110215563567563894,2016,1
12151303363015565653,2016,1
12151399193000565653,2016,3
12153533369021565676,2016,1
12181603022561565664,2016,3
12233558594633568276,2016,0
12235284410930568274,2016,3
12250215685326564594,2016,0
12253958133480564512,2016,1
12253958566927564512,2016,3
12300258523421564594,2016,1
12311392398892563453,2016,3
12313925165681563412,2016,0
12313925355603563412,2016,3
12313933381754563412,2016,0
12324699522658563221,2016,2
12326899443266563285,2016,2
12343933137696565612,2016,3
12344133689009565657,2016,3
12373558449126563276,2016,1
12376884417432563285,2016,0
12380292165373564594,2016,0
12453925381042563412,2016,3
12456815468556563485,2016,2
12456825461170563485,2016,3
12474199522636563257,2016,2
12490284383603568294,2016,0
12491384366179568253,2016,0
12491684592290568264,2016,0
12491958329301568289,2016,1
12493584596133568276,2016,1
12510208455431564994,2016,1
12510265386780564994,2016,1
12514692345483564921,2016,1
12534103686862565657,2016,1
12560215453164563894,2016,0
12580203686435563894,2016,1
12586833026432563885,2016,2
12590265457331564994,2016,0
12616899460859565985,2016,0
12624665138292564921,2016,0
12636815460347563885,2016,2
12651999168942565989,2016,2
12841925388089564989,2016,0
12843565027150564976,2016,2
12921603466040564464,2016,0
12923915521467564412,2016,1
12924615131239564421,2016,1
12956892411263564485,2016,2
14003584820923568276,2016,2
14005284874010568274,2016,1
14011358501681564553,2016,0
14013958387933564512,2016,3
14043958162279568212,2016,2
14044684354090568221,2016,0
14243999689129563212,2016,3
14244184683736583257,2016,0
14261684594794563264,2016,3
14263599395267563276,2016,1
14281392596000564453,2016,0
14294658329368568221,2016,0
14323565029164563276,2016,0
14325299362466563274,2016,3
14360233250464565994,2016,1
14361933150056585989,2016,0
14361933520423565989,2016,1
14364633134985565921,2016,3
14365299448911565974,2016,0
14386808491557564585,2016,3
14444603459212564421,2016,1
14485233029583564474,2016,1
14493984688323568212,2016,0
14563515334364563876,2016,2
14563915030331563812,2016,0
14566815827573563885,2016,0
14601392021403564453,2016,0
14666825028059564985,2016,2
14666892021982564985,2016,1
14671908975123563689,2016,0
14695203399005565674,2016,1
14755292026361563474,2016,3
14771903133128563889,2016,0
14774608353158583821,2016,3
14781365447127564953,2016,0
14783565888291564976,2016,0
14784665457048564921,2016,1
14805208465136563674,2016,2
14811325206375563453,2016,0
14813592821150563476,2016,3
14821999355141563689,2016,0
14823503495733563676,2016,3
14823908686675563612,2016,2
14824108585985563657,2016,1
14831365390086565953,2016,1
14831665392312565964,2016,0
14836899020413565985,2016,1
14904665351836584521,2016,0
14961633820715565664,2016,2
