cluster,NO_RptP1,NO_RptP2,NO_RptP3,NO_RptP4,NO_RptP5,NO_RptP6,NO_RptP7,NO_RptP11,NO_RptP14,NO_RptP18
0,0.2007168458781362,0.0,0.07646356033452807,0.0,0.1111111111111111,0.09438470728793309,0.0,0.0991636798088411,0.08363201911589008,0.1027479091995221
1,0.007228915662650603,0.00963855421686747,0.03614457831325301,1.0,0.09879518072289156,0.09397590361445783,0.0,0.014457831325301205,0.02891566265060241,0.00963855421686747
2,0.029498525073746312,0.12094395280235988,0.09734513274336283,0.12684365781710916,0.11504424778761062,0.032448377581120944,1.0,0.12094395280235988,0.10029498525073746,0.0855457227138643
3,0.03309692671394799,1.0,0.09456264775413711,0.0851063829787234,0.02364066193853428,0.03546099290780142,0.0,0.026004728132387706,0.014184397163120567,0.05200945626477541
